timestamp,latitude,longitude,altitude_km,velocity_kmph,visibility
2025-05-28 11:30:02,36.419524200311,21.457150836468,420.48336164177,27588.578640219,daylight
2025-05-28 11:35:01,46.930436710414,42.044907978631,422.29668395869,27589.787771169,daylight
2025-05-28 11:40:02,51.738924746368,69.858219059071,422.93806518329,27591.106386646,daylight
2025-05-28 11:45:02,48.664026241535,98.655119822137,421.83354265121,27593.091516216,daylight
2025-05-28 11:50:01,39.197549385188,120.94200480417,419.43338930679,27595.057990446,daylight
2025-05-28 11:55:01,26.155221565359,136.86578584426,416.96826943291,27595.370749922,eclipsed
2025-05-28 12:00:02,11.425086539994,149.17799700552,415.94391856123,27592.206652129,eclipsed
2025-05-28 12:05:01,-3.7741067286099,160.04096010996,417.39636835829,27584.660935204,eclipsed
2025-05-28 12:10:01,-18.832515878724,171.36663082051,421.36850359275,27573.248679921,eclipsed
2025-05-28 12:15:02,-32.893496279375,-174.87738744428,426.8295312514,27560.094450723,eclipsed
2025-05-28 12:20:02,-44.466919509356,-156.16119004886,431.99351818878,27548.3998664,eclipsed
2025-05-28 12:25:02,-51.148909909681,-130.27505859987,435.14050099212,27541.11602662,eclipsed
2025-05-28 12:30:02,-50.323508973457,-100.89856182112,435.23772930859,27540.05492702,daylight
2025-05-28 12:35:01,-42.422112610431,-76.557033955402,432.37112192267,27545.186754722,daylight
2025-05-28 12:40:01,-30.202459482548,-59.098821924557,427.65066815415,27554.789262652,daylight
2025-05-28 12:45:01,-15.902537938094,-46.059681107889,422.80499437069,27566.047819834,daylight
2025-05-28 12:50:02,-0.70728193610044,-34.932035203445,419.43131720933,27576.204727867,daylight
2025-05-28 12:55:02,14.481546875977,-23.916190340655,418.38317122897,27583.402043338,daylight
2025-05-28 13:00:02,28.928583227852,-11.129229593021,419.39662537772,27587.382602142,daylight
2025-05-28 13:05:01,41.411661290136,5.7832992269953,421.33155195899,27589.14920047,daylight
2025-05-28 13:10:01,49.87839431708,29.619120342634,422.7726643243,27590.264045147,daylight
2025-05-28 13:15:01,51.390623183378,58.979647882644,422.67915735907,27591.868302313,daylight
2025-05-28 13:20:01,45.223138023432,85.511564050083,420.9080096787,27594.005877863,daylight
2025-05-28 13:25:01,33.896207975661,104.80656870653,418.2911207777,27595.506954625,daylight
2025-05-28 13:30:01,19.980253187554,118.83430951613,416.26979475266,27594.535165354,eclipsed
2025-05-28 13:35:01,4.9532254715965,130.28170937595,416.22935490381,27589.538761725,eclipsed
2025-05-28 13:40:00,-10.253764012295,141.11306823062,418.81106983151,27580.199411376,eclipsed
2025-05-28 13:45:02,-25.086250129005,153.27032767044,423.62677634702,27567.642044153,eclipsed
2025-05-28 13:50:01,-38.235272659544,168.71221801194,429.1631033652,27554.781662478,eclipsed
2025-05-28 13:55:01,-48.090514375257,-169.60786396766,433.65292479285,27544.64800361,eclipsed
2025-05-28 14:00:02,-51.787967220883,-141.15856294576,435.56911519728,27539.88435116,eclipsed
2025-05-28 14:05:01,-47.659599549954,-113.18001411497,434.32140604349,27541.585297789,daylight
2025-05-28 14:10:01,-37.545882102018,-91.929506128048,430.46988877777,27548.933246945,daylight
2025-05-28 14:15:02,-24.183457072637,-76.676207130711,425.45947021214,27559.645591374,daylight
2025-05-28 14:20:01,-9.4542932703812,-64.774067642084,421.10364534674,27570.674601168,daylight
2025-05-28 14:25:01,5.798244933359,-53.92846014354,418.69043630429,27579.677636749,daylight
